"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","105","Заказ успешно создан, при заполнении всех полей","","Thu May 22 16:52:08 MSK 2025","passed","Thu May 22 16:52:08 MSK 2025","","ru.yandex.scooter.OrderCreatePositiveTests","ru.yandex.scooter.OrderCreatePositiveTests","orderCanBeCreatedTest[Тестовые данные: Color = [Ljava.lang.String;@152d2a58, statusCode = 201]"
"","102","Заказ успешно создан, при заполнении всех полей","","Thu May 22 17:27:07 MSK 2025","passed","Thu May 22 17:27:07 MSK 2025","","ru.yandex.scooter.OrderCreatePositiveTests","ru.yandex.scooter.OrderCreatePositiveTests","orderCanBeCreatedTest[Тестовые данные: Color = null, statusCode = 201]"
"","492","Нельзя создать курьера с уже существующими данными","","Thu May 22 17:27:05 MSK 2025","passed","Thu May 22 17:27:05 MSK 2025","","ru.yandex.scooter.CourierCreateNegativeTests","ru.yandex.scooter.CourierCreateNegativeTests","courierCanNotBeCreatedWithExistingCourierTest"
"","58","Курьер не может войти в систему без созданного аккаунта","","Thu May 22 17:27:05 MSK 2025","passed","Thu May 22 17:27:06 MSK 2025","","ru.yandex.scooter.CourierLoginNegativeTests","ru.yandex.scooter.CourierLoginNegativeTests","courierCanNotLoginWithoutCreatedAccountTest"
"","111","Заказ успешно создан, при заполнении всех полей","","Thu May 22 16:52:07 MSK 2025","passed","Thu May 22 16:52:08 MSK 2025","","ru.yandex.scooter.OrderCreatePositiveTests","ru.yandex.scooter.OrderCreatePositiveTests","orderCanBeCreatedTest[Тестовые данные: Color = [Ljava.lang.String;@5400db7e, statusCode = 201]"
"","94","Заказ успешно создан, при заполнении всех полей","","Thu May 22 17:27:07 MSK 2025","passed","Thu May 22 17:27:07 MSK 2025","","ru.yandex.scooter.OrderCreatePositiveTests","ru.yandex.scooter.OrderCreatePositiveTests","orderCanBeCreatedTest[Тестовые данные: Color = [Ljava.lang.String;@18918d70, statusCode = 201]"
"","203","Курьер не может войти в систему без пароля","","Thu May 22 17:27:06 MSK 2025","passed","Thu May 22 17:27:07 MSK 2025","","ru.yandex.scooter.CourierLoginNegativeTests","ru.yandex.scooter.CourierLoginNegativeTests","courierCanNotLoginWithoutPasswordTest"
"","144","Заказ успешно создан, при заполнении всех полей","","Thu May 22 17:27:07 MSK 2025","passed","Thu May 22 17:27:07 MSK 2025","","ru.yandex.scooter.OrderCreatePositiveTests","ru.yandex.scooter.OrderCreatePositiveTests","orderCanBeCreatedTest[Тестовые данные: Color = [Ljava.lang.String;@64921450, statusCode = 201]"
"","116","Курьера не создать без логина","","Thu May 22 17:27:05 MSK 2025","passed","Thu May 22 17:27:05 MSK 2025","","ru.yandex.scooter.CourierCreateNegativeTests","ru.yandex.scooter.CourierCreateNegativeTests","courierCanNotBeCreatedWithoutLoginTest"
"","121","Заказ успешно создан, при заполнении всех полей","","Thu May 22 17:27:07 MSK 2025","passed","Thu May 22 17:27:07 MSK 2025","","ru.yandex.scooter.OrderCreatePositiveTests","ru.yandex.scooter.OrderCreatePositiveTests","orderCanBeCreatedTest[Тестовые данные: Color = [Ljava.lang.String;@2119b989, statusCode = 201]"
"","194","Курьер может авторизоваться","","Thu May 22 17:27:07 MSK 2025","passed","Thu May 22 17:27:07 MSK 2025","","ru.yandex.scooter.CourierLoginPositiveTests","ru.yandex.scooter.CourierLoginPositiveTests","courierCanLoginTest"
"","1813","Тело ответа возвращается список заказов","","Thu May 22 17:27:07 MSK 2025","passed","Thu May 22 17:27:09 MSK 2025","","ru.yandex.scooter.OrderGetListTests","ru.yandex.scooter.OrderGetListTests","orderListCanShowTest"
"","282","Курьер не может войти в систему без логина","","Thu May 22 17:27:06 MSK 2025","passed","Thu May 22 17:27:06 MSK 2025","","ru.yandex.scooter.CourierLoginNegativeTests","ru.yandex.scooter.CourierLoginNegativeTests","courierCanNotLoginWithoutLoginTest"
"","204","Успешное создание курьера","","Thu May 22 17:27:05 MSK 2025","passed","Thu May 22 17:27:05 MSK 2025","","ru.yandex.scooter.CourierCreatePositiveTests","ru.yandex.scooter.CourierCreatePositiveTests","courierCanBeCreatedTest"
"","3355","Курьера нельзя создать, если логин уже существует","","Thu May 22 17:27:01 MSK 2025","passed","Thu May 22 17:27:04 MSK 2025","","ru.yandex.scooter.CourierCreateNegativeTests","ru.yandex.scooter.CourierCreateNegativeTests","courierCanNotBeCreatedWithExistingLoginTest"
"","286","Ошибка при авторизации с неверным паролем","","Thu May 22 17:27:06 MSK 2025","passed","Thu May 22 17:27:06 MSK 2025","","ru.yandex.scooter.CourierLoginNegativeTests","ru.yandex.scooter.CourierLoginNegativeTests","courierCanNotLoginWithInvalidPasswordTest"
"","73","Курьера не создать без пароля","","Thu May 22 17:27:05 MSK 2025","passed","Thu May 22 17:27:05 MSK 2025","","ru.yandex.scooter.CourierCreateNegativeTests","ru.yandex.scooter.CourierCreateNegativeTests","courierCanNotBeCreatedWithoutPasswordTest"
"","129","Заказ успешно создан, при заполнении всех полей","","Thu May 22 16:52:08 MSK 2025","passed","Thu May 22 16:52:08 MSK 2025","","ru.yandex.scooter.OrderCreatePositiveTests","ru.yandex.scooter.OrderCreatePositiveTests","orderCanBeCreatedTest[Тестовые данные: Color = [Ljava.lang.String;@50b2ba2c, statusCode = 201]"
